"LAName","NbAcc","TotBikeSince2006","RatioBikeSince2006","RatioAcc","sort"
"Essex",58,10976,0.00634744390469581,3.35415220911404e-05,"Accidents"
"Blackburn with Darwen",5,4329,0.0293094109681787,3.385240352065e-05,"Accidents"
"Luton",7,5356,0.0263064833005894,3.43811394891945e-05,"Accidents"
"Northamptonshire",24,7606,0.010961233607148,3.45871162991786e-05,"Accidents"
"Warwickshire",19,4011,0.00731934306569343,3.46715328467153e-05,"Accidents"
"North Tyneside",7,1594,0.00792246520874751,3.47912524850895e-05,"Accidents"
"Rotherham",9,6537,0.0254061406917995,3.49786241741158e-05,"Accidents"
"Cheshire West and Chester",12,2847,0.0086377427184466,3.64077669902913e-05,"Accidents"
"Birmingham",41,10023,0.00917605053556715,3.75354756019409e-05,"Accidents"
"Wigan",12,6534,0.0205601006922593,3.77595972309629e-05,"Accidents"
"Thurrock",6,4575,0.0289008212255212,3.79027163613392e-05,"Accidents"
"Salford",9,4309,0.0183752665245203,3.83795309168443e-05,"Accidents"
"East Riding of Yorkshire",23,5198,0.00879823967501693,3.89302640487475e-05,"Accidents"
"Hertfordshire",44,11486,0.0102571887837114,3.92927308447937e-05,"Accidents"
"Leeds",30,8056,0.0107198935462409,3.99201596806387e-05,"Accidents"
"Cumbria",20,14261,0.0285334133653461,4.0016006402561e-05,"Accidents"
"Gloucestershire",24,14732,0.0246230987798763,4.01136553568444e-05,"Accidents"
"Stoke on Trent",10,8170,0.0328112449799197,4.01606425702811e-05,"Accidents"
"North Yorkshire",25,7820,0.0129749460759914,4.14800066368011e-05,"Accidents"
"Telford and Wrekin",7,3324,0.0199280575539568,4.19664268585132e-05,"Accidents"
"Kent",63,9606,0.00643402545210985,4.21969189551239e-05,"Accidents"
"Herefordshire",8,2631,0.0143300653594771,4.35729847494553e-05,"Accidents"
"Coventry",14,6820,0.0213125,4.375e-05,"Accidents"
"Wolverhampton",11,7812,0.0312605042016807,4.40176070428171e-05,"Accidents"
"Calderdale",9,3007,0.0147257590597453,4.40744368266405e-05,"Accidents"
"Bracknell Forest",5,980,0.00865724381625442,4.41696113074205e-05,"Accidents"
"Sandwell",14,3188,0.0103506493506493,4.54545454545455e-05,"Accidents"
"Durham",11,18329,0.0764983305509182,4.59098497495826e-05,"Accidents"
"Leicestershire",46,22191,0.0226254078303426,4.69004893964111e-05,"Accidents"
"Poole",7,80,0.00053835800807537,4.71063257065949e-05,"Accidents"
"Trafford",11,5648,0.0248701012769705,4.84368119771026e-05,"Accidents"
"Bradford",26,3531,0.00675918836140888,4.97702909647779e-05,"Accidents"
"Tameside",11,6459,0.0293991807009558,5.00682749203459e-05,"Accidents"
"City of Bristol",22,3946,0.00902974828375286,5.03432494279176e-05,"Accidents"
"Hampshire",89,20881,0.011839986391472,5.0464958040372e-05,"Accidents"
"Nottinghamshire",42,6870,0.00873268081860938,5.33875683233761e-05,"Accidents"
"Oxfordshire",35,1891,0.00289232181095136,5.35331905781585e-05,"Accidents"
"Southampton ",14,2096,0.00806153846153846,5.38461538461538e-05,"Accidents"
"Lancashire",64,2506,0.00213950311619568,5.46401434303765e-05,"Accidents"
"Wakefield",18,6103,0.0187323511356661,5.52486187845304e-05,"Accidents"
"Manchester",28,8896,0.0176894014714655,5.56770729767349e-05,"Accidents"
"Cambridgeshire",45,6412,0.00794843188298004,5.57828188917813e-05,"Accidents"
"South Gloucestershire",15,3117,0.0117136414881623,5.6369785794814e-05,"Accidents"
"Merseyside",79,70103,0.0507698435689455,5.72132097334878e-05,"Accidents"
"Reading",9,1449,0.00930635838150289,5.78034682080925e-05,"Accidents"
"Redcar and Cleveland",8,2813,0.0208062130177515,5.91715976331361e-05,"Accidents"
"Lincolnshire",43,8970,0.012570067264574,6.02578475336323e-05,"Accidents"
"West Sussex",49,1200,0.00148349610582272,6.05760909877612e-05,"Accidents"
"Surrey",69,21072,0.018557463672391,6.07661822985469e-05,"Accidents"
"Windsor and Maidenhead",9,2703,0.0186285320468642,6.2026188835286e-05,"Accidents"
"Bedford Borough Council",10,2440,0.01525,6.25e-05,"Accidents"
"Suffolk",46,5335,0.00730721818928914,6.30050677989317e-05,"Accidents"
"Cheshire East",25,6629,0.0178823846776369,6.74399784192069e-05,"Accidents"
"Bath and North East Somerset",8,3105,0.0264030612244898,6.80272108843537e-05,"Accidents"
"Southend on Sea",12,4198,0.0240849110728629,6.88468158347676e-05,"Accidents"
"Blackpool",10,3647,0.0256830985915493,7.04225352112676e-05,"Accidents"
"Slough",10,2777,0.0197370291400142,7.10732054015636e-05,"Accidents"
"North Lincolnshire",12,0,0,7.14711137581894e-05,"Accidents"
"Middlesbrough",10,3806,0.0275,7.22543352601156e-05,"Accidents"
"Warrington",15,10592,0.0522545633941786,7.40009866798224e-05,"Accidents"
"Peterborough",14,1143,0.00622549019607843,7.62527233115468e-05,"Accidents"
"Derby",19,5091,0.0204704463208685,7.63972657820667e-05,"Accidents"
"Swindon",16,866,0.0041395793499044,7.64818355640535e-05,"Accidents"
"Oldham",8,8729,0.0843381642512077,7.72946859903382e-05,"Accidents"
"Halton",10,2751,0.0218333333333333,7.93650793650794e-05,"Accidents"
"Kingston Upon Hull",21,830,0.00323712948517941,8.19032761310452e-05,"Accidents"
"York",17,1804,0.00902,8.5e-05,"Accidents"
"Wokingham",14,2000,0.0129617627997408,9.07323395981854e-05,"Accidents"
"Darlington",10,2376,0.0224150943396226,9.43396226415094e-05,"Accidents"
"Nottingham",30,984,0.00323790720631787,9.87166831194472e-05,"Accidents"
"Bournemouth",19,337,0.00183651226158038,0.000103542234332425,"Accidents"
"Stockton on Tees",9,7206,0.0863097376931369,0.000107797340998922,"Accidents"
"South Tyneside",17,13077,0.0850813272608979,0.00011060507482108,"Accidents"
"Portsmouth",28,3398,0.0165433300876339,0.000136319376825706,"Accidents"
"Barnsley",12,7606,0.0936111555550086,0.0001476904899632,"Accidents"
"Dorset",25,1036,0.00695302013422819,0.000167785234899329,"Accidents"
"Doncaster",22,3774,0.0295305164319249,0.000172143974960876,"Accidents"
"Norfolk",43,0,0,0.00017479674796748,"Accidents"
"North East Lincolnshire",29,1198,0.00761602034329307,0.000184361093452003,"Accidents"
